word,tag,key
airport,aeroway,aerodrome
airports,aeroway,aerodrome
animal boarding facility,amenity,animal_boarding
animal boarding facilities,amenity,animal_boarding
animal shelter,amenity,animal_shelter
animal shelters,amenity,animal_shelter
arts centre,amenity,arts_centre
arts centres,amenity,arts_centre
arts center,amenity,arts_centre
arts centers,amenity,arts_centre
atm,amenity,atm
atms,amenity,atm
cash,amenity,atm
cash,amenity,atm
cash machine,amenity,atm
cash machines,amenity,atm
auditorium,amenity,auditorium
auditoriums,amenity,auditorium
bank,amenity,bank
banks,amenity,bank
bar,amenity,bar
bars,amenity,bar
bar,amenity,pub
bars,amenity,pub
bench,amenity,bench
benches,amenity,bench
cycle parking,amenity,bicycle_parking
cycle parkings,amenity,bicycle_parking
cycle rental,amenity,bicycle_rental
cycle rentals,amenity,bicycle_rental
bicycle parking,amenity,bicycle_parking
bicycle parkings,amenity,bicycle_parking
bicycle rental,amenity,bicycle_rental
bicycle rentals,amenity,bicycle_rental
brothel,amenity,brothel
brothels,amenity,brothel
bureau de change,amenity,bureau_de_change
bureau de changes,amenity,bureau_de_change
bureaus de change,amenity,bureau_de_change
bus station,amenity,bus_station
bus stations,amenity,bus_station
cafe,amenity,cafe
cafes,amenity,cafe
car rental,amenity,car_rental
car rentals,amenity,car_rental
car share,amenity,car_sharing
car sharing,amenity,car_sharing
car sharings,amenity,car_sharing
car wash,amenity,car_wash
car washes,amenity,car_wash
casino,amenity,casino
casinos,amenity,casino
cinema,amenity,cinema
cinemas,amenity,cinema
clinic,amenity,clinic
clinics,amenity,clinic
club,amenity,club
clubs,amenity,club
college,amenity,college
colleges,amenity,college
community centre,amenity,community_centre
community centres,amenity,community_centre
community center,amenity,community_centre
community centers,amenity,community_centre
courthouse,amenity,courthouse
courthouses,amenity,courthouse
crematorium,amenity,crematorium
crematoriums,amenity,crematorium
dentist,amenity,dentist
dentists,amenity,dentist
doctor,amenity,doctors
doctors,amenity,doctors
martial arts,amenity,dojo
martial arts,amenity,dojo
dojo,amenity,dojo
dojos,amenity,dojo
dojang,amenity,dojo
dojang,amenity,dojo
dormitory,amenity,dormitory
dormitorys,amenity,dormitory
dormitories,amenity,dormitory
drinking water,amenity,drinking_water
water,amenity,drinking_water
driving school,amenity,driving_school
driving schools,amenity,driving_school
embassy,amenity,embassy
embassys,amenity,embassy
embassies,amenity,embassy
emergency phone,amenity,emergency_phone
emergency phones,amenity,emergency_phone
fast food,amenity,fast_food
food,amenity,restaurant
food,amenity,fast_food
food,amenity,restaurant
food,amenity,fast_food
ferry terminal,amenity,ferry_terminal
ferry terminals,amenity,ferry_terminal
fire hydrant,amenity,fire_hydrant
fire hydrants,amenity,fire_hydrant
fire station,amenity,fire_station
fire stations,amenity,fire_station
fountain,amenity,fountain
fountains,amenity,fountain
fuel,amenity,fuel
fuels,amenity,fuel
fuel station,amenity,fuel
fuel stations,amenity,fuel
gas,amenity,fuel
gas,amenity,fuel
gas station,amenity,fuel
gas stations,amenity,fuel
petrol,amenity,fuel
petrol station,amenity,fuel
petrol stations,amenity,fuel
grave yard,amenity,grave_yard
grave yards,amenity,grave_yard
fitness centre,amenity,gym
fitness centres,amenity,gym
fitness center,amenity,gym
fitness centers,amenity,gym
gym,amenity,gym
gyms,amenity,gym
hall,amenity,hall
halls,amenity,hall
health centre,amenity,health_centre
health centres,amenity,health_centre
health center,amenity,health_centre
health centers,amenity,health_centre
hospital,amenity,hospital
hospitals,amenity,hospital
hotel,amenity,hotel
hotels,amenity,hotel
hunting stand,amenity,hunting_stand
hunting stands,amenity,hunting_stand
ice cream,amenity,ice_cream
kindergarten,amenity,kindergarten
kindergartens,amenity,kindergarten
library,amenity,library
librarys,amenity,library
libraries,amenity,library
market,amenity,market
markets,amenity,market
marketplace,amenity,marketplace
marketplaces,amenity,marketplace
mountain rescue,amenity,mountain_rescue
mountain rescues,amenity,mountain_rescue
night club,amenity,nightclub
night clubs,amenity,nightclub
nursery,amenity,nursery
nurserys,amenity,nursery
nurseries,amenity,nursery
nursing home,amenity,nursing_home
nursing homes,amenity,nursing_home
office,amenity,office
offices,amenity,office
park,amenity,park
parks,amenity,park
parking,amenity,parking
pharmacy,amenity,pharmacy
pharmacys,amenity,pharmacy
pharmacies,amenity,pharmacy
church,amenity,place_of_worship
churches,amenity,place_of_worship
place of worship,amenity,place_of_worship
place of worships,amenity,place_of_worship
places of worship,amenity,place_of_worship
police,amenity,police
post box,amenity,post_box
post boxes,amenity,post_box
post office,amenity,post_office
post offices,amenity,post_office
pre-school,amenity,preschool
pre-schools,amenity,preschool
prison,amenity,prison
prisons,amenity,prison
pub,amenity,bar
pubs,amenity,bar
pub,amenity,pub
pubs,amenity,pub
public building,amenity,public_building
public buildings,amenity,public_building
public market,amenity,public_market
public markets,amenity,public_market
reception area,amenity,reception_area
reception areas,amenity,reception_area
recycling point,amenity,recycling
recycling points,amenity,recycling
restaurant,amenity,restaurant
restaurants,amenity,restaurant
retirement home,amenity,retirement_home
retirement homes,amenity,retirement_home
sauna,amenity,sauna
saunas,amenity,sauna
school,amenity,school
schools,amenity,school
shelter,amenity,shelter
shelters,amenity,shelter
shop,amenity,shop
shops,amenity,shop
shopping,amenity,shopping
social club,amenity,social_club
social clubs,amenity,social_club
studio,amenity,studio
studios,amenity,studio
supermarket,amenity,supermarket
supermarkets,amenity,supermarket
swinger club,amenity,swingerclub
swinger clubs,amenity,swingerclub
taxi,amenity,taxi
taxis,amenity,taxi
taxi rank,amenity,taxi
taxi ranks,amenity,taxi
telephone,amenity,telephone
telephones,amenity,telephone
public telephone,amenity,telephone
public telephones,amenity,telephone
phone booth,amenity,telephone
phone booths,amenity,telephone
theatre,amenity,theatre
theatres,amenity,theatre
toilet,amenity,toilets
toilets,amenity,toilets
town hall,amenity,townhall
town halls,amenity,townhall
university,amenity,university
universitys,amenity,university
universities,amenity,university
vending machine,amenity,vending_machine
vending machines,amenity,vending_machine
veterinary surgery,amenity,veterinary
veterinary surgeries,amenity,veterinary
village hall,amenity,village_hall
village halls,amenity,village_hall
waste basket,amenity,waste_basket
waste baskets,amenity,waste_basket
rubbish bin,amenity,waste_basket
rubbish bins,amenity,waste_basket
bin,amenity,waste_basket
bins,amenity,waste_basket
wifi access,amenity,wifi
wifi,amenity,wifi
wifi point,amenity,wifi
wifi points,amenity,wifi
youth centre,amenity,youth_centre
youth centres,amenity,youth_centre
youth center,amenity,youth_centre
youth centers,amenity,youth_centre
apartment block,building,apartments
apartment blocks,building,apartments
